date,count,yd,wd,thi,tlo,rain,sun,wc,ws,air
2017-01-01,-0.8831460661790317,0.5,0.9874639560909118,0.3695652173913043,0.2608695652173913,0.0,0.3,0.0416666666666666,0.0416666666666666,0.598
2017-01-02,-1.5094956701409605,0.5085831648773537,0.7169418695587791,0.4130434782608695,0.3043478260869565,0.0,0.4,0.0416666666666666,0.0416666666666666,0.586
2017-01-03,-0.2567964622171026,0.5171638002566218,0.28305813044122097,0.4130434782608695,0.3043478260869565,0.0,0.2,0.0416666666666666,0.0416666666666666,0.52
2017-01-04,-0.2567964622171026,0.5257393773851733,0.012536043909088246,0.4130434782608695,0.3695652173913043,0.0769230769230769,0.8,0.0416666666666666,0.0416666666666666,0.628
2017-01-05,0.6827279437257908,0.534307369001067,0.10908425876598504,0.3695652173913043,0.3043478260869565,0.0769230769230769,0.8,0.0416666666666666,0.0416666666666666,0.43
2017-01-06,-0.5699712641980671,0.5428652500778471,0.4999999999999999,0.3478260869565217,0.2608695652173913,0.0769230769230769,0.8,0.0301682003360243,0.0394582638250116,0.12
2017-01-07,-0.5699712641980671,0.5514104985686802,0.8909157412340147,0.3478260869565217,0.2826086956521739,0.0,0.3,0.0301682003360243,0.0394582638250116,0.16
2017-01-08,-1.5094956701409605,0.5599405961496136,0.9874639560909119,0.3695652173913043,0.2608695652173913,0.0,0.3,0.0076372393287735,0.0369544648321022,0.276
2017-01-09,-0.2567964622171026,0.5684530289617377,0.7169418695587793,0.3478260869565217,0.2608695652173913,0.0384615384615384,0.6,0.0301682003360243,0.0394582638250116,0.32
2017-01-10,0.05637833976386187,0.5769452883520308,0.28305813044122113,0.3260869565217391,0.217391304347826,0.0769230769230769,0.8,0.0416666666666666,0.0416666666666666,0.236
2017-01-11,-0.8831460661790317,0.5854148716126721,0.012536043909088246,0.3043478260869565,0.217391304347826,0.0769230769230769,0.8,0.0416666666666666,0.0416666666666666,0.22
2017-01-12,-0.2567964622171026,0.5938592827185993,0.10908425876598493,0.3695652173913043,0.217391304347826,0.0,0.1,0.0416666666666666,0.0416666666666666,0.268
2017-01-13,-1.1963208681599962,0.6022760330631004,0.4999999999999998,0.391304347826087,0.217391304347826,0.0,0.1,0.0416666666666666,0.0416666666666666,0.2
2017-01-14,0.3695531417448264,0.6106626421912162,0.8909157412340147,0.3695652173913043,0.217391304347826,0.0,0.2,0.0416666666666666,0.0416666666666666,0.252
